
#1671,"Bret Weinstein, Dr. Pierre Kory",23-Jun-21
MMA Show #112,Don Frye,22-Jun-21
#1670,David Sinclair,18-Jun-21
#1669,Kyle Kulinski,17-Jun-21
#1668,"Krystal Ball, Saagar Enjeti",16-Jun-21
#1667,Annie Lederman,15-Jun-21
#1666,Duncan Trussell,11-Jun-21
#1665,Carole Hooven,10-Jun-21
#1664,Josh Dubin,9-Jun-21
#1663,Edward Slingerland,8-Jun-21
#1662,Tom Papa,5-Jun-21
#1661,Rick Doblin,4-Jun-21
#1660,David Lee Roth,3-Jun-21
#1659,Scott Eastwood,2-Jun-21
MMA Show #111,John Danaher,28-May-21
MMA Show #110,"Craig Jones, Alexander Volkanovski",27-May-21
#1658,Neil deGrasse Tyson,26-May-21
#1657,Steve Adler,25-May-21
#1656,Adam Duritz,21-May-21
#1655,Sebastian Junger,20-May-21
#1654,Whitney Cummings,19-May-21
#1653,Andy Norman,18-May-21
#1652,Anthony Cumia,14-May-21
#1651,Joe List,13-May-21
#1650,Russell Peters,12-May-21
#1649,Michael Easter,11-May-21
#1648,Reggie Watts,8-May-21
#1647,Dave Chappelle,7-May-21
#1646,David Holthouse,6-May-21
#1645,Christopher Mellon,5-May-21
#1644,Ethan Suplee,4-May-21
MMA Show #109,Gordon Ryan,1-May-21
#1643,Jonathan Zimmerman,30-Apr-21
#1642,Andrew Santino,29-Apr-21
#1641,Matty Matheson,28-Apr-21
#1640,Josh Rogin,27-Apr-21
#1639,Dave Smith,23-Apr-21
MMA Show #108,Stephen Thompson,22-Apr-21
#1638,Dr. Shanna Swan,21-Apr-21
#1637,Action Bronson,20-Apr-21
#1636,Colion Noir,16-Apr-21
#1635,Katie Spotz,15-Apr-21
#1634,Jack Carr,14-Apr-21
#1633,Ali Macofsky,13-Apr-21
#1632,Tom Segura,10-Apr-21
#1631,Brian Greene,8-Apr-21
MMA Show #107,Georges St-Pierre,7-Apr-21
#1630,Dan Crenshaw,6-Apr-21
#1629,Lara Beitz,3-Apr-21
#1628,Eric Weinstein,2-Apr-21
#1627,Dan Gable,31-Mar-21
#1626,Alex Honnold,30-Mar-21
#1625,Demi Lovato,27-Mar-21
#1624,Mark Sisson,26-Mar-21
#1623,Doug Stanhope,25-Mar-21
#1622,Marcus Luttrell,24-Mar-21
#1621,Jim Breuer,19-Mar-21
MMA Show #106,Leon Edwards,18-Mar-21
#1620,Nate Bargatze,17-Mar-21
#1619,Claressa Shields,16-Mar-21
MMA Show #105,Derrick Lewis,12-Mar-21
#1618,Mat Fraser,11-Mar-21
#1617,Mike Baker,10-Mar-21
#1616,Jamie Metzl,9-Mar-21
MMA Show #104,Cory Sandhagen,5-Mar-21
#1615,Hamilton Morris,4-Mar-21
#1614,Tiller Russell,3-Mar-21
#1613,Ayaan Hirsi Ali,2-Mar-21
MMA Show #103,Max Holloway,27-Feb-21
MMA Show #102,Dustin Poirier,26-Feb-21
#1612,Robert Bigelow,25-Feb-21
MMA Show #101,"Kevin Holland, Travis Lutter",24-Feb-21
#1611,"Freddie Gibbs, Brian Moses",23-Feb-21
#1610,Tim Dillon,20-Feb-21
MMA Show #100,Cody Garbrant,12-Feb-21
#1609,Elon Musk,11-Feb-21
